Posting_Date,Document_Number,ItemCode,Qty,loading_status,storage_unit,WHS_Code
06/12/2022,221001451,11168,-40,Pending,,
06/12/2022,221001451,11181,-20,Pending,,
06/12/2022,221001451,11252,-20,Pending,,
06/12/2022,221001451,11349,-6,Pending,,
06/12/2022,221001451,11572,-40,Pending,,
06/12/2022,2281860,10442,-80,Pending,,
06/12/2022,221001459,10917,-20,Pending,,
06/12/2022,221001461,11002,-20,Pending,,
06/12/2022,221001461,11048,-20,Pending,,
06/12/2022,2281860,11168,-120,Pending,,
06/12/2022,2281866,11204,-10,Pending,,
06/12/2022,221001461,11252,-40,Pending,,
06/12/2022,2281866,11280,-10,Pending,,
06/12/2022,2281863,11350,-6,Pending,,
06/12/2022,2281866,11351,-40,Pending,,
06/12/2022,2281866,11363,-30,Pending,,
06/12/2022,2281860,11387,-40,Pending,,
06/12/2022,2281860,11449,-40,Pending,,
06/12/2022,2281866,11456,-40,Pending,,
06/12/2022,2281866,11471,-80,Pending,,
06/12/2022,2281863,11525,-18,Pending,,
06/12/2022,2281860,11529,-240,Pending,,
06/12/2022,2281863,11541,-20,Pending,,
06/12/2022,2281860,11543,-20,Pending,,
06/12/2022,2281859,11575,-12,Pending,,
06/12/2022,221001460,11577,-6,Pending,,
06/12/2022,2281859,11590,-12,Pending,,
06/12/2022,2281859,11596,-18,Pending,,
06/12/2022,2281860,11660,-50,Pending,,
06/12/2022,2281860,11670,-20,Pending,,
06/12/2022,221001461,11673,-400,Pending,,
06/12/2022,2281863,11689,-20,Pending,,
06/12/2022,2281866,11700,-6,Pending,,
06/12/2022,2281860,11729,-30,Pending,,
06/12/2022,2281859,11751,-6,Pending,,
06/12/2022,221001450,11923,-20,Pending,,
06/12/2022,2281860,11944,-20,Pending,,
06/12/2022,2281860,11947,-40,Pending,,
06/12/2022,2281860,11958,-20,Pending,,
06/12/2022,221001459,11967,-10,Pending,,
06/12/2022,221001450,12177,-40,Pending,,
06/12/2022,2281865,10790,-20,Pending,,
06/12/2022,2281858,10844,-5,Pending,,
06/12/2022,2281864,10887,-20,Pending,,
06/12/2022,221001465,10914,-40,Pending,,
06/12/2022,2281858,10914,-20,Pending,,
06/12/2022,2281864,10917,-20,Pending,,
06/12/2022,2281858,11077,-20,Pending,,
06/12/2022,2281864,11077,-20,Pending,,
06/12/2022,2281865,11167,-40,Pending,,
06/12/2022,2281858,11168,-160,Pending,,
06/12/2022,2281858,11182,-20,Pending,,
06/12/2022,2281864,11387,-20,Pending,,
06/12/2022,2281858,11402,-80,Pending,,
06/12/2022,2281858,11517,-120,Pending,,
06/12/2022,221001465,11517,-100,Pending,,
