article_no,qty,ETA,status
11524,500,12/14/2022,arriving
11354,2000,12/14/2022,arriving
11265,500,12/14/2022,arriving
11538,1000,12/14/2022,arriving
12172,300,12/14/2022,arriving
11545,500,12/14/2022,arriving
11263,500,12/14/2022,arriving
12174,702,12/14/2022,arriving
12176,204,12/14/2022,arriving
11673,2000,12/14/2022,arriving
11303,210,12/14/2022,arriving
11304,545,12/14/2022,arriving
11305,546,12/14/2022,arriving
11670,500,12/14/2022,arriving
11909,500,12/14/2022,arriving
11525,8,12/14/2022,arriving
11506,40,12/14/2022,arriving
11354,11,12/14/2022,arriving
11525,9,12/14/2022,arriving
