"article_no","carton_cbm","qnt_box"
"11168","0.107453","40"
"11181","0.0663","20"
"11252","0.0685781","20"
"11349","0.086625","6"
"11572","0.0455731","40"
"10442","0.02688","40"
"10917","0.067941","20"
"11002","0.0455265","20"
"11048","0.03564","10"
"11204","0.0581196","10"
"11280","0.0583511","10"
"11350","0.078045","6"
"11351","0.0331098","10"
"11363","0.033465","6"
"11387","0.027898","40"
"11449","0.079764","20"
"11456","0.052785","10"
"11471","0.05396","20"
"11525","0.0619319","6"
"11529","0.02784","40"
"11541","0.0418854","10"
"11543","0.0403771","20"
"11575","0.061332","6"
"11577","0.066555","6"
"11590","0.07809","6"
"11596","0.0679851","6"
"11660","0.084456","10"
"11670","0.036864","20"
"11673","0.06264","20"
"11689","0.0584669","10"
"11700","0.05096","6"
"11729","0.03008","10"
"11751","0.0791588","6"
"11923","0.0777991","20"
"11944","0.0254845","10"
"11947","0.037653","20"
"11958","0.0483552","20"
"11967","0.08165","10"
"12177","0.0195","40"
"10790","0.046008","20"
"10844","0.09676","80"
"10887","0.0525723","40"
"10914","0.09676","80"
"11077","0.047376","10"
"11167","0.0920745","40"
"11182","0.0663","20"
"11402","0.0195","40"
"11517","0.045198","40"
"11522","0.0777368","80"
"11545","0.0613474","20"
"11567","0.05829","40"
"11568","0.05148","40"
"11607","0.035784","20"
"11618","0.0446589","20"
"11635","0.0762547","80"
"11636","0.0828","10"
"11680","0.0178342","20"
"11713","0.04329","10"
"11715","0.06264","20"
"11903","0.06048","40"
"11983","0.0605696","40"
"12081","0.03008","10"
"12109","0.0483552","20"
"12125","0.046008","20"
"12126","0.05481","20"
"12142","0.0195","40"
"18028","0.003456","50"
