box_qnt,article_no,Quantity,qnt_box,carton_length_cm,carton_width_cm,carton_height_cm
1,12100,20,20,49.5,34,18.5
25,11823,500,20,47,34,22.5
50,11901,500,10,46.5,32.5,19.5
25,11958,500,20,41.4,32,36.5
25,11681,500,20,43,23.7,18.5
92,11729,920,10,47,32,20
75,11994,3000,40,40,24,29
84,11524,504,6,53.8,38.5,29.9
50,11672,500,10,49,46,30
25,11267,500,20,51,40,32.5
22,11670,440,20,32,32,36.5
25,11909,500,20,45,43.5,32
25,11954,500,20,45,43.5,32
25,11629,500,20,47.5,35.5,32
1,11629,5,20,47.5,35.5,32
50,11471,1000,20,47.5,36.5,32
1,11471,10,20,47.5,36.5,32
25,11458,500,20,47.5,35.5,32
1,11458,5,20,47.5,35.5,32
1,11566,20,20,47.5,35.5,32
50,11168,2000,40,60.5,36.4,48
125,11167,5000,40,55.3,37,45
50,11608,1000,20,32,31.5,35.5
25,10958,500,20,39.5,37.5,47.5
13,11252,260,20,38.5,37.5,47.5
2,11381,40,20,38.5,37.5,47.5
25,11572,1000,40,39.5,32.5,35.5
7,11521,560,80,39.5,41.5,59
40,10532,800,20,38.5,37,48
44,11534,1760,40,40.5,29.5,39.5
50,10960,1000,20,39.5,37.5,47.5
